13
20	4	27	47	19	69	80	75	64	34	101	55	15	
2	65	85	35	71	94	93	82	56	109	18	25	36	
19	11	103	2	54	92	41	58	89	74	63	91	74	
109	107	10	5	93	104	103	28	108	50	84	78	99	
91	33	44	37	59	32	48	109	69	84	79	5	30	
59	71	37	60	78	94	107	21	102	4	87	92	17	
95	30	104	44	106	104	105	78	66	74	60	59	76	
66	3	46	46	11	63	57	9	13	46	66	70	44	
47	9	41	66	87	104	98	22	15	95	89	93	30	
19	10	37	75	98	100	45	108	67	6	13	92	45	
70	100	37	55	48	102	75	107	80	7	78	34	21	
86	74	81	24	33	99	36	59	105	38	65	52	19	
22	34	97	63	36	84	28	51	34	4	18	78	78	
